-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2023 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2023,-5.5,105.5,5.0609,4.6961,5.3722,5.5555,4.8432,4.3306,4.4052,5.3767,6.1394,6.3362,5.0268,5.2522,5.203
ALLSKY_SFC_SW_DWN,2023,-5.5,106.5,4.8535,4.6073,5.2932,5.4674,4.6697,4.7616,4.6315,5.8421,6.552,6.4186,5.1662,5.1888,5.291
ALLSKY_SFC_SW_DWN,2023,-5.5,107.5,4.4873,4.0711,5.1485,5.6244,4.8062,4.8643,4.9315,5.899,6.5842,6.5578,5.395,4.8077,5.2706
ALLSKY_SFC_SW_DWN,2023,-5.5,108.5,4.2564,3.8155,5.1595,5.5889,4.9596,4.9524,4.9066,5.7857,6.5023,6.5863,5.2656,4.8139,5.2236
ALLSKY_SFC_SW_DWN,2023,-5.5,109.5,4.1681,3.8023,5.0938,5.4509,4.8979,5.1674,4.8946,5.9801,6.5717,6.6487,5.2313,4.7597,5.2296
ALLSKY_SFC_SW_DWN,2023,-5.5,110.5,3.9806,3.8957,5.095,5.3604,5.011,5.1883,5.0436,6.127,6.6907,6.7637,5.3366,4.783,5.2802
ALLSKY_SFC_SW_DWN,2023,-5.5,111.5,4.0466,4.1035,4.9894,5.3717,4.8485,5.2356,5.0659,6.1574,6.6247,6.7243,5.4934,5.083,5.3179
ALLSKY_SFC_SW_DWN,2023,-5.5,112.5,4.062,3.9775,4.8641,5.3059,5.1108,5.3496,5.1137,6.2424,6.7044,6.8604,5.7041,5.2817,5.3887
ALLSKY_SFC_SW_DWN,2023,-5.5,113.5,4.363,4.1326,5.0654,5.1286,5.4653,5.3556,5.0537,6.2986,6.7716,6.797,5.935,5.3009,5.4797
ALLSKY_SFC_SW_DWN,2023,-5.5,114.5,4.5091,4.1486,5.1528,5.2116,5.5006,5.2625,4.9843,6.2755,6.7351,6.815,5.8906,5.1821,5.4799
ALLSKY_SFC_SW_DWN,2023,-6.5,105.5,4.699,4.3282,5.5046,5.3239,5.0983,4.6366,4.8125,5.7408,6.3876,6.2827,5.4377,5.6959,5.3359
ALLSKY_SFC_SW_DWN,2023,-6.5,106.5,4.499,3.948,4.729,4.9927,4.5773,4.3577,4.5012,5.1583,5.7377,5.7514,4.8833,5.1898,4.8665
ALLSKY_SFC_SW_DWN,2023,-6.5,107.5,4.6577,3.8916,4.8888,5.1401,4.7222,4.6718,4.8833,5.6124,6.2563,6.2467,5.291,5.1838,5.1281
ALLSKY_SFC_SW_DWN,2023,-6.5,108.5,4.6942,4.0414,5.2493,5.3923,4.9253,4.7227,5.0974,5.7665,6.3115,6.3089,5.3786,5.1842,5.2639
ALLSKY_SFC_SW_DWN,2023,-6.5,109.5,4.6512,3.9734,5.3568,5.3791,4.8977,4.8528,5.1096,5.8932,6.4932,6.5093,5.4859,5.3299,5.3364
ALLSKY_SFC_SW_DWN,2023,-6.5,110.5,4.4297,3.7217,5.107,5.2802,5.034,5.0904,5.1538,6.0946,6.5129,6.5971,5.6354,5.4662,5.3537
ALLSKY_SFC_SW_DWN,2023,-6.5,111.5,4.5374,3.9029,5.0642,5.275,4.8086,4.9709,5.0758,5.9818,6.4325,6.4848,5.6357,5.6395,5.3261
ALLSKY_SFC_SW_DWN,2023,-6.5,112.5,4.7623,4.4182,5.305,5.3782,5.0474,5.2238,5.2212,6.1654,6.6163,6.6485,5.933,5.6357,5.5358
