-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2023 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2023,-5.5,105.625,26.64,26.67,27.06,27.46,28.14,27.65,27.2,27.14,27.94,29.62,29.06,28.43,27.76
T2M,2023,-5.5,106.25,27.41,27.32,27.7,28.38,28.97,28.42,28.12,27.9,28.02,28.93,29.31,28.98,28.29
T2M,2023,-5.5,106.875,27.58,27.37,27.77,28.59,29.13,28.57,28.33,27.97,27.99,28.75,29.28,29.12,28.38
T2M,2023,-5.5,107.5,27.64,27.41,27.75,28.64,29.1,28.56,28.26,27.83,27.83,28.67,29.27,29.16,28.35
T2M,2023,-5.5,108.125,27.68,27.43,27.74,28.61,29.02,28.47,28.16,27.7,27.69,28.52,29.16,29.08,28.28
T2M,2023,-5.5,108.75,27.67,27.42,27.72,28.47,28.92,28.42,28.13,27.65,27.67,28.42,28.97,29.01,28.21
T2M,2023,-5.5,109.375,27.66,27.4,27.67,28.36,28.87,28.41,28.11,27.59,27.65,28.35,28.89,29.03,28.17
T2M,2023,-5.5,110.0,27.59,27.37,27.64,28.29,28.87,28.36,28.01,27.52,27.57,28.28,28.9,28.94,28.12
T2M,2023,-5.5,110.625,27.53,27.36,27.6,28.27,28.91,28.36,27.99,27.57,27.58,28.27,28.91,28.94,28.11
T2M,2023,-5.5,111.25,27.56,27.43,27.63,28.29,28.97,28.4,27.98,27.61,27.59,28.22,28.9,28.98,28.13
T2M,2023,-5.5,111.875,27.57,27.49,27.66,28.3,28.99,28.44,27.99,27.62,27.61,28.2,28.94,28.96,28.15
T2M,2023,-5.5,112.5,27.55,27.5,27.68,28.33,29.01,28.43,27.99,27.56,27.58,28.18,28.98,28.97,28.15
T2M,2023,-5.5,113.125,27.6,27.54,27.77,28.39,28.95,28.36,27.92,27.45,27.45,28.06,28.92,28.99,28.12
T2M,2023,-5.5,113.75,27.62,27.58,27.76,28.4,28.92,28.35,27.91,27.39,27.39,28.05,28.89,29.01,28.11
T2M,2023,-5.5,114.375,27.63,27.57,27.77,28.4,28.89,28.29,27.89,27.37,27.39,28.03,28.89,28.99,28.1
T2M,2023,-6.0,105.625,27.0,27.2,27.48,27.85,28.46,28.03,27.48,27.22,27.43,28.74,28.57,28.12,27.8
